rule,direction,avg_return,sharpe_ratio,win_rate,min_return
ma_diff_30_360 < 0.00711619388 AND volume_ma_diff_30_60 < 0.725985825 AND volatility_60 < 0.473639458 AND volume_ma_30 < 0.296587497,1,0.05930886227013715,2.140412411159559,0.8958333333333334,-0.006987577639751553
max_30 < 0.0216078069 AND ma_diff_60_360 < 0.956398845 AND avg_price_break_30 < 1 AND ma_30 < 0.713549674 AND min_30 < 0.367454559,1,0.29576940200104007,2.13630799643952,0.9072164948453608,-0.004200076365024819
max_60 < 0.011631717 AND volume_ma_10 < 0.0675190389 AND ma_diff_30_180 < 0.530094564 AND liquidity_10 < 0.194716722 AND liquidity_10 < 0.289600521,1,0.38411937418085024,2.135720459449709,0.5862068965517241,0.029601518026565465
low < 0.939699709 AND ma_diff_10_360 < 0.0262438077 AND volume_ma_diff_60_180 < 0.482753545 AND turnover_rate < 0.511840582 AND skew_7 < 1.15247321,1,0.04703437973055222,2.086465635819743,0.8987341772151899,-0.006987577639751553
ma_diff_30_360 < 0.00711619388 AND min_60 < 0.985868454 AND volume_ma_30 < 0.464799225 AND volatility_180 < 0.719747961 AND volatility_60 < 0.266056776,1,0.05818867265707304,2.0754438993010185,0.7878787878787878,-0.006987577639751553
ma_5 < 0.0494464934 AND avg_price_ma_20 < 0.0260856189 AND volume_ma_diff_10_180 < 0.327793688 AND kurt_30 < -1.05130053 AND change_percentage < 0.639871359,1,0.3124655145790819,2.065040697558759,1.0,0.0022953328232593728
ma_diff_30_360 < 0.00711619388 AND kurt_180 < 0.0714634731 AND close < 0.491705656,1,0.057425280055415896,2.0638005505826604,0.8666666666666667,-0.006580679126085812
max_7 < 0.529478908 AND min_180 < 0.131774098 AND min_360 < 0.914285719 AND ma_diff_30_360 < 0.0392644294 AND max_7 < 0.0631999969,1,0.2522361133339918,2.0600543123763613,0.881578947368421,-0.02691721686135094
max_30 < 0.0216078069 AND ma_diff_10_360 < 0.888832331 AND avg_price_ma_5 < 0.657120526 AND skew_180 < 0.857860982 AND avg_price_break_10 < 1,1,0.2891504699587599,2.055912870882041,0.9054054054054054,-0.004200076365024819
ma_diff_10_360 < 0.0262438077 AND change < 0.532325804 AND volume_ma_diff_60_180 < 0.491508424 AND turnover_rate < 0.511840582 AND skew_7 < 0.896688938,1,0.039573135268972784,2.041706816475349,0.9655172413793104,-0.0016556291390728477
low < 0.939699709 AND open < 0.022234574 AND momentum < 0.443615973 AND kurt_180 < 0.209010109 AND avg_price_ma_5 < 0.0142260781,1,0.17954967738634733,2.0400371411554534,0.8484848484848485,0.046632124352331605
max_180 < 0.0111148879 AND ma_180 < 0.0079117408 AND high < 0.321208388 AND volume_ma_diff_30_60 < 0.572453082 AND change < 0.504143178,1,0.18261648784443812,2.031391109622806,0.9523809523809523,-0.03457838634197078
max_7 < 0.529478908 AND min_360 < 0.113282159 AND min_360 < 0.914285719 AND ma_diff_30_360 < 0.0392644294 AND max_7 < 0.0482855141,1,0.24744355961259948,2.0155229614635526,0.8524590163934426,-0.02691721686135094
avg_price_ma_20 < 0.0260856189 AND min_7 < 0.0582464747 AND ma_diff_30_180 < 0.111527145 AND bias_10 < 0.546355903 AND skew_30 < 1.53242207,1,0.22311061329472082,1.995090484109043,0.7903225806451613,-0.02691721686135094
low < 0.939699709 AND avg_price_ma_20 < 0.0260856189 AND bias_30 < 0.391327292 AND change_percentage < 0.759115577 AND volume_ma_diff_30_180 < 0.0983812809,1,0.2961970624371002,1.9744598356160556,0.8863636363636364,0.010943031863533955
ma_diff_30_360 < 0.00711619388 AND liquidity_30 < 0.169160053 AND change_percentage < 0.599069417 AND momentum < 0.591073096,1,0.04798596431337039,1.9568489236036086,0.7291666666666666,0.011188185276348177
ma_diff_30_360 < 0.00711619388 AND liquidity_30 < 0.169160053 AND ma_diff_60_360 < 0.0303337704 AND ma_diff_10_180 < 0.251607746,1,0.05141077175150594,1.9359967762473809,0.7121212121212122,-0.0013790725736941907
max_7 < 0.0282129794 AND range_7 < 0.0271493215 AND ma_diff_10_360 < 0.610304534 AND volume_ma_diff_60_180 < 0.73405081 AND ma_diff_30_60 < 0.745861053,1,0.31151042243927657,1.9238684774522654,0.9024390243902439,0.011619095731245263
avg_price_break_10 < 1 AND ma_diff_10_360 < 0.0328977443 AND min_360 < 0.854651153 AND skew_7 < -0.016877329 AND volume_ma_10 < 0.206454575,1,0.058895641152897985,1.9196437311531749,0.8115942028985508,-0.04219409282700422
ma_30 < 0.0143087367 AND price_volume_ratio < 0.0217788704 AND ma_diff_10_360 < 0.139102072 AND rsi < 79.9425125 AND ma_diff_30_60 < 0.53871119,1,0.21093795738298418,1.9003178701395973,0.8095238095238095,0.011761411369364323
ma_diff_10_360 < 0.0262438077 AND volume_ma_diff_60_180 < 0.482753545 AND liquidity_10 < 0.273803532 AND volume_ma_diff_30_60 < 0.4290317 AND momentum < 0.54713434,1,0.05334936365453982,1.885954566899182,0.9772727272727273,-0.04880478087649402
close < 0.931464314 AND ma_diff_30_360 < 0.00711619388 AND liquidity_30 < 0.15196152 AND volatility_30 < 0.248779282 AND ma_diff_10_360 < 0.0902457833,1,0.05233133477420029,1.8579620515236364,0.8372093023255814,-0.006987577639751553
max_30 < 0.0127347978 AND ma_diff_10_60 < 0.45444715 AND bias_10 < 0.530900836 AND money_flow_ma_10 < 0.15355216 AND volume_ma_10 < 0.0252125468,1,0.0904713213579934,1.8469354980337938,0.8525641025641025,-0.016526570736572162
max_180 < 0.0111148879 AND ma_180 < 0.0079117408 AND high < 0.321208388 AND open_interest < 0.483452946 AND volume_ma_diff_60_180 < 0.493348271,1,0.15883976545795497,1.8451331817197325,1.0,0.010922992900054615
close < 0.0746237859 AND skew_30 < 0.587715387 AND money_flow_ma_30 < 0.00354058412 AND volume_ma_60 < 0.000338700513 AND kurt_30 < -0.209505692,1,0.05387463384833682,1.829840328126869,1.0,0.013157894736842105
max_30 < 0.0127347978 AND volume_return < 0.0414028279 AND turnover_rate < 0.308717698 AND low < 0.0517031625,1,0.08211804666088114,1.8045443798117993,0.9333333333333333,0.027600306670074112
avg_price_ma_20 < 0.0260856189 AND min_7 < 0.0582464747 AND ma_diff_30_180 < 0.111527145 AND range_180 < 0.966183603,1,0.21819608891299522,1.789411794367578,0.7840909090909091,-0.02691721686135094
ma_5 < 0.0494464934 AND bias_10 < 0.427403688 AND max_30 < 0.0991071463 AND range_30 < 0.147593096 AND bias_10 < 0.703866422,1,0.24383956017068836,1.7878845767326248,0.7771428571428571,-0.005582339507739152
ma_diff_30_360 < 0.00711619388 AND kurt_180 < 0.125097632 AND volatility_60 < 0.448541343 AND volatility_60 < 0.531394422,1,0.05584549451769806,1.7647452845223845,0.8050847457627118,-0.062377402903099254
close < 0.0227222592 AND momentum < 0.433436781 AND kurt_180 < 0.209010109 AND liquidity_30 < 0.356232792 AND min_30 < 0.0116541358,1,0.11009677755468558,1.753905819704494,0.7894736842105263,0.04285714285714286
max_30 < 0.0216078069 AND ma_diff_60_180 < 0.399909616 AND avg_price_ma_10 < 0.0501043834 AND bias_5 < 0.52784723 AND ma_diff_10_30 < 0.539662004,1,0.28580999014737785,1.7525307809663713,0.8367346938775511,-0.06441393875395987
ma_diff_30_360 < 0.00711619388 AND ma_diff_60_360 < 0.0303337704 AND kurt_180 < 0.1015663 AND volume_ma_diff_60_180 < 0.825181901,1,0.055940294402930094,1.7275443415865241,0.7669902912621359,-0.062377402903099254
ma_30 < 0.0143087367 AND min_30 < 0.0417784601 AND max_30 < 0.0338899791 AND kurt_60 < 0.0246217661,1,0.08401743016255163,1.7248901677720232,0.9069767441860465,-0.0248565965583174
ma_diff_30_360 < 0.00711619388 AND liquidity_30 < 0.169160053 AND range_180 < 0.70426631 AND change_percentage < 0.608763099,1,0.04534086447666243,1.7245729645482282,0.6428571428571429,-0.0013790725736941907
ma_diff_10_360 < 0.0262438077 AND range_360 < 0.590721667 AND ma_diff_30_360 < 0.925810814 AND range_7 < 0.246419027 AND volatility_60 < 0.436686426,1,0.060654598439216764,1.7211641997586806,0.9074074074074074,-0.04880478087649402
volume_ma_30 < 0.389438868 AND skew_180 < 0.0983226821 AND min_60 < 0.0762527213 AND min_180 < 0.0420923568 AND ma_5 < 0.0922788456,1,0.11941223137561727,1.7103452366749896,0.8857142857142857,-0.0028222013170272815
max_30 < 0.0127347978 AND skew_60 < 0.237666905 AND bias_30 < 0.418650627,1,0.081358111042731,1.6979935912891122,0.6744186046511628,0.006776127182694814
ma_diff_60_360 < 0.949331999 AND bias_30 < 0.206331834 AND rsi < 17.3120728 AND ma_diff_60_180 < 0.314410746 AND ma_360 < 0.673359811,1,0.1556039548687436,1.6958134575115682,1.0,0.007827788649706457
ma_diff_30_60 < 0.414576679 AND ma_60 < 0.101549551 AND max_180 < 0.0730077103 AND ma_180 < 0.224944055 AND ma_60 < 0.0704213455,1,0.24450450327385886,1.692893664901458,0.967391304347826,-0.04046103974066507
max_30 < 0.0127347978 AND ma_diff_10_60 < 0.45444715 AND bias_10 < 0.530900836 AND skew_180 < 0.492713064 AND volume_ma_diff_10_180 < 0.283690214,1,0.20389654052357944,1.6847218052881487,0.8648648648648649,0.04590818363273453
volume_ma_diff_10_30 < 0.352463275 AND max_7 < 0.0756097585 AND avg_price_5 < 0.0659346581 AND avg_price_ma_20 < 0.0486959256 AND open_interest < 0.0265780725,1,0.11306386225707547,1.683204521787183,0.7948717948717948,0.015782828282828284
max_30 < 0.0216078069 AND avg_price_ma_20 < 0.0486959256 AND ma_180 < 0.345115423 AND bias_10 < 0.489551395,1,0.25803948103413415,1.6692985359101447,0.782051282051282,-0.07478932584269662
max_60 < 0.011631717 AND money_flow_ma_10 < 0.0547528453 AND volume_ma_10 < 0.00249563274 AND liquidity_30 < 0.0258881319,1,0.13210729148615477,1.6680518556625088,0.925,0.0020678246484698098
high < 0.11811024 AND ma_diff_60_180 < 0.23303102 AND ma_diff_30_60 < 0.527657211 AND max_30 < 0.0802469105 AND bias_30 < 0.349460691,1,0.22286658449727872,1.6516167655553418,0.874251497005988,-0.05616913852950457
skew_180 < 0.107714675 AND skew_360 < 0.425753862 AND volume_ma_360 < 0.597245634 AND kurt_180 < 0.149736837 AND range_7 < 0.077866666,1,0.07465861560777844,1.645860862836665,0.9027777777777778,-0.022424070394550098
ma_diff_30_360 < 0.00711619388 AND kurt_180 < 0.125097632 AND liquidity_30 < 0.226098135 AND volatility_180 < 0.823806524 AND max_7 < 0.461194605,1,0.05066128430449993,1.6452006151749219,0.8160919540229885,-0.04675118858954041
max_7 < 0.0140000004 AND kurt_180 < 0.209010109 AND ma_30 < 0.0376956835 AND volume_ma_30 < 0.27246052 AND kurt_7 < 0.276771963,1,0.2736722136684872,1.6388530020686012,0.88,0.020601565718994644
ma_diff_30_360 < 0.00711619388 AND kurt_180 < 0.125097632 AND liquidity_30 < 0.226098135 AND ma_diff_180_360 < 0.358160198 AND min_7 < 0.457241088,1,0.04976371815899934,1.6388120546286205,0.8241758241758241,-0.04675118858954041
avg_price_ma_30 < 0.0228025969 AND liquidity_30 < 0.209365383 AND volume_ma_diff_30_180 < 0.490774155,1,0.04391777061266661,1.6364880429755466,0.4225352112676056,-0.005593288054334798
max_60 < 0.111018598 AND min_7 < 0.547358274 AND ma_diff_30_60 < 0.325278461 AND volume_ma_diff_30_60 < 0.421340734 AND volatility_60 < 0.0463683009,1,0.0741303191955377,1.635489830285395,0.7696629213483146,-0.03436238682229737
ma_diff_30_360 < 0.00711619388 AND liquidity_30 < 0.15196152 AND range_7 < 0.39565599 AND ma_diff_10_360 < 0.0902457833 AND skew_360 < 0.377138853,1,0.047071208987412745,1.6343605244878836,0.8103448275862069,-0.006580679126085812
